timestamp,elapsed_sec,latency_ms,type
1767954388.3108294,744.92,1.09,send_ack_simulated
1767954388.3123708,744.92,0.48,send_ack_simulated
1767954388.3129823,744.92,1.91,send_ack_simulated
1767954388.3139346,744.92,0.07,send_ack_simulated
1767954388.3142815,744.92,0.04,send_ack_simulated
1767954388.3146827,744.92,0.45,send_ack_simulated
1767954388.3149266,744.92,0.39,send_ack_simulated
1767954388.3151917,744.92,0.03,send_ack_simulated
1767954388.3153117,744.92,0.12,send_ack_simulated
1767954416.318042,772.93,0.71,send_ack_simulated
1767954416.3192978,772.93,0.05,send_ack_simulated
1767954416.3201582,772.93,0.35,send_ack_simulated
1767954416.3208358,772.93,0.82,send_ack_simulated
1767954416.321593,772.93,0.03,send_ack_simulated
1767954416.3225398,772.93,0.13,send_ack_simulated
1767954416.3228624,772.93,0.24,send_ack_simulated
1767954416.3233278,772.93,0.05,send_ack_simulated
1767954416.3237367,772.93,0.27,send_ack_simulated
1767954416.3240519,772.93,0.54,send_ack_simulated
1767954416.3243861,772.93,0.03,send_ack_simulated
1767954416.3249183,772.93,0.24,send_ack_simulated
1767954416.325196,772.93,0.03,send_ack_simulated
1767954416.3253846,772.93,0.02,send_ack_simulated
1767954444.3327708,800.94,0.68,send_ack_simulated
1767954444.3345265,800.94,0.69,send_ack_simulated
1767954444.3352559,800.94,0.64,send_ack_simulated
1767954444.335686,800.94,0.86,send_ack_simulated
1767954444.3359356,800.94,0.02,send_ack_simulated
1767954444.3361712,800.94,0.01,send_ack_simulated
1767954444.3365648,800.94,0.74,send_ack_simulated
1767954444.3369915,800.95,0.02,send_ack_simulated
1767954444.3373146,800.95,0.24,send_ack_simulated
1767954444.337597,800.95,0.51,send_ack_simulated
1767954444.3378088,800.95,0.38,send_ack_simulated
1767954444.3381047,800.95,0.03,send_ack_simulated
1767954444.3384247,800.95,0.03,send_ack_simulated
1767954472.3436701,828.95,0.02,send_ack_simulated
1767954472.3448682,828.95,0.04,send_ack_simulated
1767954472.3469799,828.96,0.31,send_ack_simulated
1767954472.3475292,828.96,0.03,send_ack_simulated
1767954472.3477008,828.96,1.19,send_ack_simulated
1767954472.3479283,828.96,1.01,send_ack_simulated
1767954472.3484764,828.96,0.22,send_ack_simulated
1767954500.3582542,856.97,0.02,send_ack_simulated
1767954500.3602097,856.97,0.98,send_ack_simulated
1767954500.36076,856.97,0.33,send_ack_simulated
1767954500.361122,856.97,0.83,send_ack_simulated
1767954500.3614476,856.97,0.07,send_ack_simulated
1767954500.3619955,856.97,0.05,send_ack_simulated
1767954500.3624167,856.97,1.75,send_ack_simulated
1767954500.3627741,856.97,0.84,send_ack_simulated
1767954528.3694265,884.98,0.07,send_ack_simulated
1767954528.3716965,884.98,0.07,send_ack_simulated
1767954528.3728218,884.98,0.92,send_ack_simulated
1767954528.373006,884.98,0.68,send_ack_simulated
1767954528.3738182,884.98,0.47,send_ack_simulated
1767954528.3742485,884.98,0.03,send_ack_simulated
1767954528.3745692,884.98,0.03,send_ack_simulated
1767954528.3749282,884.98,0.31,send_ack_simulated
1767954528.3752816,884.98,0.31,send_ack_simulated
1767954528.3754952,884.98,0.35,send_ack_simulated
1767954528.3757687,884.98,0.66,send_ack_simulated
