timestamp,elapsed_sec,vip_sent_rate,normal_sent_rate,total_sent_rate,errors_rate
1768237887.9659498,141.13,0,0,0,0
1768237888.9661553,142.13,0,0,0,0
1768237889.9664164,143.13,0,0,0,0
1768237890.966704,144.13,0,0,0,0
1768237891.9669921,145.13,0,0,0,0
1768237892.9673173,146.13,0,0,0,0
1768237893.9675157,147.13,0,0,0,0
1768237894.96774,148.13,0,0,0,0
1768237895.9679465,149.13,0,0,0,0
1768237896.9682698,150.13,0,0,0,0
1768237897.9686058,151.13,0,0,0,0
1768237898.9689507,152.13,0,0,0,0
1768237899.969208,153.13,0,0,0,0
1768237900.9695601,154.13,0,0,0,0
1768237901.9698637,155.13,0,0,0,0
1768237902.9701905,156.13,0,0,0,0
1768237903.9704561,157.13,0,0,0,0
1768237904.9706907,158.13,0,0,0,0
1768237905.9710095,159.13,0,0,0,0
1768237906.9713495,160.13,0,0,0,0
1768237907.9716544,161.13,0,0,0,0
1768237908.9719872,162.13,0,0,0,0
1768237909.9723032,163.13,0,0,0,0
1768237910.9725919,164.13,0,0,0,0
1768237911.9728537,165.13,0,0,0,0
1768237912.9731262,166.13,0,0,0,0
1768237913.9733691,167.13,0,0,0,0
1768237914.9735477,168.13,0,0,0,0
1768237915.9737995,169.13,0,0,0,0
1768237916.974051,170.13,0,0,0,0
1768237917.9742718,171.13,0,0,0,0
1768237918.974523,172.13,0,0,0,0
1768237919.9747221,173.13,0,0,0,0
1768237920.9749177,174.13,0,0,0,0
1768237921.9751751,175.13,0,0,0,0
1768237922.9754424,176.13,0,0,0,0
1768237923.9756963,177.14,0,0,0,0
1768237924.9758518,178.14,0,0,0,0
1768237925.976042,179.14,0,0,0,0
1768237926.9762278,180.14,0,0,0,0
1768237927.9764984,181.14,0,0,0,0
1768237928.976741,182.14,0,0,0,0
1768237929.976936,183.14,0,0,0,0
1768237930.9771757,184.14,0,0,0,0
1768237931.9774241,185.14,0,0,0,0
1768237932.9776335,186.14,0,0,0,0
1768237933.9778886,187.14,0,0,0,0
1768237934.978132,188.14,0,0,0,0
1768237935.9783866,189.14,0,0,0,0
1768237936.9786196,190.14,0,0,0,0
1768237937.978835,191.14,0,0,0,0
1768237938.9791007,192.14,0,0,0,0
1768237939.9793382,193.14,0,0,0,0
1768237940.979593,194.14,0,0,0,0
1768237941.979926,195.14,0,0,0,0
1768237942.98025,196.14,0,0,0,0
1768237943.9804227,197.14,0,0,0,0
1768237944.980791,198.14,0,0,0,0
1768237945.9811034,199.14,0,0,0,0
1768237946.981406,200.14,0,0,0,0
1768237947.9817278,201.14,0,0,0,0
1768237948.9820065,202.14,0,0,0,0
1768237949.9823248,203.14,0,0,0,0
1768237950.9826267,204.14,0,0,0,0
1768237951.9828768,205.14,0,0,0,0
1768237952.9831386,206.14,0,0,0,0
1768237953.9833975,207.14,0,0,0,0
1768237954.9836497,208.14,0,0,0,0
1768237955.9838572,209.14,0,0,0,0
1768237956.9840994,210.14,0,0,0,0
1768237957.984378,211.14,0,0,0,0
1768237958.9845386,212.14,0,0,0,0
1768237959.9847853,213.14,0,0,0,0
1768237960.984988,214.14,0,0,0,0
1768237961.985227,215.14,0,0,0,0
1768237962.985499,216.14,0,0,0,0
1768237963.9856632,217.14,0,0,0,0
1768237964.9858525,218.15,0,0,0,0
1768237965.9860904,219.15,0,0,0,0
1768237966.986255,220.15,0,0,0,0
1768237967.9865205,221.15,0,0,0,0
1768237968.9867013,222.15,0,0,0,0
1768237969.9869468,223.15,0,0,0,0
1768237970.9871073,224.15,0,0,0,0
1768237971.9873595,225.15,0,0,0,0
1768237972.98767,226.15,0,0,0,0
1768237973.9879296,227.15,0,0,0,0
1768237974.9881794,228.15,0,0,0,0
1768237975.9884133,229.15,0,0,0,0
1768237976.9885695,230.15,0,0,0,0
1768237977.9888418,231.15,0,0,0,0
1768237978.9890265,232.15,0,0,0,0
1768237979.9892704,233.15,0,0,0,0
1768237980.9895163,234.15,0,0,0,0
1768237981.9897723,235.15,0,0,0,0
1768237982.9900467,236.15,0,0,0,0
1768237983.990308,237.15,0,0,0,0
1768237984.990469,238.15,0,0,0,0
1768237985.9907281,239.15,0,0,0,0
1768237986.990924,240.15,0,0,0,0
1768237987.9910963,241.15,0,0,0,0
1768237988.9914017,242.15,0,0,0,0
1768237989.991565,243.15,0,0,0,0
1768237990.991749,244.15,0,0,0,0
1768237991.9919345,245.15,0,0,0,0
1768237992.9921982,246.15,0,0,0,0
1768237993.9924018,247.15,0,0,0,0
1768237994.992576,248.15,0,0,0,0
1768237995.9927883,249.15,0,0,0,0
1768237996.9929974,250.15,0,0,0,0
1768237997.993272,251.15,0,0,0,0
1768237998.993516,252.15,0,0,0,0
1768237999.993765,253.15,0,0,0,0
1768238000.9940183,254.15,0,0,0,0
1768238001.9942975,255.15,0,0,0,0
1768238002.994473,256.15,0,0,0,0
1768238003.994721,257.15,0,0,0,0
1768238004.9949186,258.15,0,0,0,0
1768238005.9951148,259.15,0,0,0,0
1768238006.9953818,260.15,0,0,0,0
1768238007.9956548,261.15,0,0,0,0
1768238008.9958565,262.16,0,0,0,0
1768238009.9961028,263.16,0,0,0,0
1768238010.9963815,264.16,0,0,0,0
1768238011.9966598,265.16,0,0,0,0
1768238012.9968736,266.16,0,0,0,0
1768238013.9971178,267.16,0,0,0,0
1768238014.9974167,268.16,0,0,0,0
1768238015.9976904,269.16,0,0,0,0
1768238016.997934,270.16,0,0,0,0
1768238017.9982061,271.16,0,0,0,0
1768238018.9984782,272.16,0,0,0,0
1768238019.9987488,273.16,0,0,0,0
1768238020.9990091,274.16,0,0,0,0
1768238021.99928,275.16,0,0,0,0
1768238022.9995754,276.16,0,0,0,0
1768238023.9998271,277.16,0,0,0,0
1768238025.0000846,278.16,0,0,0,0
1768238026.000349,279.16,0,0,0,0
1768238027.0005147,280.16,0,0,0,0
1768238028.0007787,281.16,0,0,0,0
1768238029.0010343,282.16,0,0,0,0
1768238030.0013056,283.16,0,0,0,0
1768238031.0015817,284.16,0,0,0,0
1768238032.0017843,285.16,0,0,0,0
1768238033.0019917,286.16,0,0,0,0
1768238034.0021803,287.16,0,0,0,0
1768238035.0023744,288.16,0,0,0,0
1768238036.0025501,289.16,0,0,0,0
1768238037.002774,290.16,0,0,0,0
1768238038.0030022,291.16,0,0,0,0
1768238039.003275,292.16,0,0,0,0
1768238040.0034785,293.16,0,0,0,0
1768238041.0036473,294.16,0,0,0,0
1768238042.0038235,295.16,0,0,0,0
1768238043.0040011,296.16,0,0,0,0
1768238044.004269,297.16,0,0,0,0
1768238045.0044413,298.16,0,0,0,0
1768238046.0046232,299.16,0,0,0,0
1768238047.0048106,300.16,0,0,0,0
1768238048.0050368,301.16,0,0,0,0
1768238049.0052972,302.16,0,0,0,0
1768238050.0054579,303.16,0,0,0,0
1768238051.005617,304.16,0,0,0,0
1768238052.005812,305.17,0,0,0,0
1768238053.0060456,306.17,0,0,0,0
1768238054.0062482,307.17,0,0,0,0
1768238055.0064273,308.17,0,0,0,0
1768238056.006605,309.17,0,0,0,0
1768238057.0067756,310.17,0,0,0,0
1768238058.0069914,311.17,0,0,0,0
1768238059.0071466,312.17,0,0,0,0
1768238060.0073957,313.17,0,0,0,0
1768238061.0076501,314.17,0,0,0,0
1768238062.0078866,315.17,0,0,0,0
1768238063.0081902,316.17,0,0,0,0
1768238064.0084567,317.17,0,0,0,0
1768238065.0086432,318.17,0,0,0,0
1768238066.0088599,319.17,0,0,0,0
1768238067.0091188,320.17,0,0,0,0
1768238068.0093894,321.17,0,0,0,0
1768238069.009637,322.17,0,0,0,0
1768238070.0098014,323.17,0,0,0,0
1768238071.0100548,324.17,0,0,0,0
1768238072.0103097,325.17,0,0,0,0
1768238073.010576,326.17,0,0,0,0
1768238074.010829,327.17,0,0,0,0
1768238075.0110905,328.17,0,0,0,0
1768238076.0112896,329.17,0,0,0,0
1768238077.01154,330.17,0,0,0,0
1768238078.0117433,331.17,0,0,0,0
1768238079.011995,332.17,0,0,0,0
1768238080.0122445,333.17,0,0,0,0
1768238081.0125027,334.17,0,0,0,0
1768238082.0127583,335.17,0,0,0,0
1768238083.0130315,336.17,0,0,0,0
1768238084.0132833,337.17,0,0,0,0
1768238085.0135376,338.17,0,0,0,0
1768238086.0137906,339.17,0,0,0,0
1768238087.014032,340.17,0,0,0,0
1768238088.0143049,341.17,0,0,0,0
1768238089.0145605,342.17,0,0,0,0
1768238090.014806,343.17,0,0,0,0
1768238091.0150564,344.17,0,0,0,0
1768238092.0153146,345.17,0,0,0,0
1768238093.0155725,346.17,0,0,0,0
1768238094.0158398,347.18,0,0,0,0
1768238095.016024,348.18,0,0,0,0
1768238096.0161777,349.18,0,0,0,0
1768238097.0164504,350.18,0,0,0,0
1768238098.0167227,351.18,0,0,0,0
1768238099.0169814,352.18,0,0,0,0
1768238100.0172362,353.18,0,0,0,0
1768238101.0175126,354.18,0,0,0,0
1768238102.0177627,355.18,0,0,0,0
1768238103.0179806,356.18,0,0,0,0
1768238104.0182316,357.18,0,0,0,0
1768238105.01842,358.18,0,0,0,0
1768238106.0185897,359.18,0,0,0,0
1768238107.0187783,360.18,0,0,0,0
1768238108.0189896,361.18,0,0,0,0
1768238109.0192468,362.18,0,0,0,0
1768238110.0194385,363.18,0,0,0,0
1768238111.0196095,364.18,0,0,0,0
1768238112.0198028,365.18,0,0,0,0
1768238113.020014,366.18,0,0,0,0
1768238114.0202239,367.18,0,0,0,0
1768238115.020409,368.18,0,0,0,0
1768238116.0206742,369.18,0,0,0,0
1768238117.0208592,370.18,0,0,0,0
1768238118.0211203,371.18,0,0,0,0
1768238119.0213795,372.18,0,0,0,0
1768238120.0215495,373.18,0,0,0,0
1768238121.021709,374.18,0,0,0,0
1768238122.021869,375.18,0,0,0,0
1768238123.0220814,376.18,0,0,0,0
1768238124.0223484,377.18,0,0,0,0
1768238125.0225224,378.18,0,0,0,0
1768238126.0227194,379.18,0,0,0,0
1768238127.0229125,380.18,0,0,0,0
1768238128.0231807,381.18,0,0,0,0
1768238129.0233297,382.18,0,0,0,0
1768238130.0234957,383.18,0,0,0,0
1768238131.02391,384.18,0,0,0,0
1768238132.024189,385.18,0,0,0,0
1768273622.405992,48.76,5814000,0,5814000,968
1768273624.3402343,50.69,506000,0,506000,86
1768273625.8666637,52.22,500000,0,500000,95
1768273627.1398964,53.49,394000,0,394000,76
1768273628.6286469,54.98,458000,0,458000,69
1768273630.0663383,56.42,588000,0,588000,99
1768273631.9799738,58.33,598000,0,598000,104
1768273633.4575458,59.81,524000,0,524000,99
1768273636.0641363,62.42,788000,0,788000,114
1768273637.5336494,63.89,470000,0,470000,73
1768273638.7501166,65.10,378000,0,378000,77
